num,load
0,6
1,4
2,2
3,7
4,3
5,4
6,6
7,3
8,3
9,9
10,3
11,7
12,8
13,4
14,6
15,8
16,1
17,11
18,5
19,5
20,2
21,3
22,4
23,5
24,6
25,2
26,5
27,6
28,6
29,3
30,6
31,3
32,4
33,7
34,6
35,5
36,3
37,8
38,9
39,5
40,3
41,5
42,5
43,3
44,11
45,8
46,2
47,8
48,4
49,7
50,6
51,6
52,11
53,9
54,4
55,5
56,9
57,7
58,6
59,3
60,7
61,10
62,7
63,4
64,5
65,7
66,11
67,10
68,5
69,2
70,2
71,5
72,5
73,4
74,2
75,4
76,7
77,6
78,11
79,4
80,9
81,2
82,5
83,4
84,3
85,2
86,8
87,6
88,3
89,3
90,2
91,8
92,8
93,7
94,5
95,5
96,3
97,4
98,11
99,2
100,4
101,8
102,7
103,3
104,5
105,5
106,0
107,7
108,8
109,4
110,6
111,7
112,6
113,6
114,7
115,7
116,4
117,11
118,7
119,6
120,3
121,5
122,7
123,5
124,5
125,8
126,8
127,6
128,3
129,7
130,10
131,7
132,4
133,8
134,3
135,4
136,3
137,5
138,7
139,5
140,1
141,6
142,5
143,5
144,7
145,7
146,5
147,6
148,3
149,5
150,8
151,4
152,6
153,10
154,4
155,3
156,8
157,2
158,4
159,2
160,6
161,6
162,6
163,11
164,6
165,5
166,6
167,6
168,4
169,12
170,4
171,6
172,9
173,7
174,9
175,3
176,0
177,6
178,5
179,6
180,6
181,6
182,5
183,7
184,5
185,9
186,6
187,5
188,6
189,8
190,5
191,5
192,5
193,6
194,9
195,4
196,5
197,6
198,5
199,4
200,5
201,7
202,9
203,9
204,5
205,4
206,5
207,3
208,3
209,1
210,5
211,2
212,4
213,3
214,7
215,7
216,3
217,7
218,4
219,3
220,3
221,6
222,7
223,3
224,6
225,2
226,10
227,4
228,2
229,7
230,7
231,5
232,5
233,5
234,8
235,5
236,6
237,5
238,6
239,2
240,3
241,5
242,7
243,15
244,7
245,7
246,6
247,5
248,5
249,1
250,14
251,4
252,8
253,4
254,6
255,6
256,4
257,8
258,3
259,6
260,5
261,7
262,7
263,3
264,7
265,6
266,5
267,7
268,7
269,9
270,2
271,7
272,6
273,4
274,3
275,4
276,3
277,6
278,9
279,7
280,3
281,6
282,4
283,6
284,2
285,6
286,11
287,6
288,5
289,7
290,3
291,5
292,6
293,6
294,9
295,3
296,7
297,8
298,4
299,8
300,5
301,6
302,3
303,9
304,11
305,6
306,5
307,3
308,2
309,4
310,6
311,2
312,7
313,2
314,3
315,4
316,5
317,6
318,1
319,4
320,5
321,5
322,5
323,3
324,7
325,9
326,6
327,6
328,5
329,10
330,3
331,7
332,7
333,8
334,6
335,6
336,5
337,3
338,8
339,8
340,3
341,5
342,2
343,7
344,5
345,3
346,8
347,13
348,5
349,5
350,4
351,8
352,5
353,6
354,2
355,8
356,3
357,6
358,9
359,6
360,5
361,4
362,7
363,8
364,2
365,5
366,3
367,6
368,4
369,5
370,2
371,8
372,1
373,9
374,4
375,1
376,7
377,6
378,7
379,8
380,4
381,3
382,5
383,2
384,7
385,6
386,8
387,6
388,6
389,4
390,4
391,8
392,6
393,3
394,11
395,2
396,3
397,4
398,3
399,8
400,4
401,3
402,5
403,2
404,6
405,4
406,6
407,5
408,1
409,4
410,4
411,8
412,7
413,9
414,11
415,4
416,3
417,2
418,2
419,7
420,4
421,6
422,4
423,3
424,4
425,3
426,5
427,4
428,4
429,6
430,4
431,3
432,5
433,8
434,5
435,4
436,6
437,6
438,7
439,2
440,10
441,6
442,3
443,7
444,6
445,3
