num,load
0,6
1,1
2,6
3,2
4,7
5,2
6,4
7,6
8,1
9,5
10,6
11,6
12,2
13,5
14,3
15,5
16,4
17,7
18,4
19,7
20,4
21,4
22,3
23,8
24,9
25,5
26,5
27,4
28,8
29,2
30,2
31,9
32,7
33,5
34,6
35,7
36,4
37,4
38,5
39,1
40,10
41,5
42,8
43,4
44,7
45,7
46,4
47,3
48,6
49,7
50,1
51,5
52,6
53,7
54,5
55,8
56,4
57,7
58,12
59,3
60,4
61,3
62,6
63,3
64,6
65,4
66,6
67,7
68,2
69,6
70,4
71,5
72,6
73,3
74,4
75,10
76,6
77,1
78,8
79,5
80,7
81,8
82,8
83,5
84,5
85,7
86,4
87,4
88,1
89,2
90,5
91,3
92,1
93,7
94,5
95,8
96,5
97,5
98,5
99,6
100,3
101,4
102,5
103,5
104,8
105,4
106,4
107,8
108,5
109,8
110,6
111,6
112,5
113,8
114,6
115,4
116,5
117,5
118,2
119,6
120,7
121,5
122,9
123,4
124,3
125,2
126,4
127,4
128,8
129,3
130,6
131,1
132,4
133,3
134,2
135,4
136,12
137,8
138,5
139,4
140,3
141,4
142,2
143,4
144,7
145,7
146,10
147,6
148,10
149,4
150,2
151,9
152,7
153,2
154,5
155,5
156,6
157,6
158,6
159,6
160,7
161,4
162,8
163,7
164,10
165,5
166,5
167,3
168,4
169,5
170,7
171,6
172,5
173,5
174,1
175,5
176,7
177,5
178,3
179,4
180,4
181,4
182,5
183,7
184,7
185,6
186,4
187,2
188,8
189,2
190,6
191,4
192,3
193,3
194,5
195,7
196,5
197,5
198,4
199,5
200,5
201,8
202,4
203,4
204,6
205,3
206,4
207,1
208,5
209,5
210,5
211,2
212,5
213,4
214,6
215,5
216,7
217,3
218,5
219,3
220,9
221,5
222,3
223,8
224,6
225,4
226,4
227,4
228,8
229,4
230,8
231,7
232,6
233,6
234,4
235,6
236,12
237,6
238,7
239,6
240,3
241,8
242,5
243,5
244,5
245,4
246,2
247,7
248,10
249,3
250,7
251,4
252,5
253,15
254,7
255,6
256,5
257,4
258,2
259,7
260,9
261,6
262,5
263,11
264,5
265,8
266,5
267,7
268,6
269,6
270,4
271,1
272,8
273,10
274,4
275,8
276,6
277,5
278,8
279,7
280,4
281,6
282,6
283,8
284,5
285,8
286,7
287,7
288,8
289,5
290,10
291,7
292,15
293,3
294,1
295,2
296,5
297,10
298,7
299,7
300,9
301,10
302,4
303,7
304,9
305,10
306,4
307,11
308,9
309,10
310,5
311,10
312,13
313,5
314,8
315,7
316,8
317,12
318,11
319,10
320,9
321,1
322,6
323,2
324,6
325,13
326,8
327,8
328,6
329,5
330,6
331,8
332,8
333,7
334,5
335,8
336,9
337,9
338,3
339,8
340,8
341,5
342,6
343,8
344,11
345,8
346,8
347,4
348,8
349,13
350,7
351,7
352,9
353,9
354,5
355,8
356,5
357,4
358,5
359,12
360,8
361,6
362,9
363,5
364,7
365,15
366,6
367,6
368,8
369,7
370,4
371,6
372,8
373,4
374,5
375,5
376,5
377,3
378,6
379,2
380,6
381,6
382,7
383,2
384,10
385,6
386,2
387,3
388,3
389,2
390,3
391,11
392,16
393,4
394,1
395,6
396,14
397,8
398,3
399,7
400,5
401,5
402,4
403,7
404,5
405,8
406,5
407,9
408,3
409,7
410,10
411,9
412,6
413,9
414,4
415,1
416,6
417,2
418,5
419,3
420,9
421,8
422,5
423,3
424,7
425,6
426,14
427,6
428,7
429,12
430,7
431,6
432,9
433,8
434,3
435,8
436,7
437,13
438,4
439,4
440,7
441,7
442,7
443,11
444,8
445,8
446,14
447,3
448,13
449,8
450,8
451,5
452,11
453,7
454,6
455,5
456,5
457,8
458,5
459,10
460,5
461,7
462,5
463,4
464,6
465,5
466,12
467,7
468,4
469,6
470,6
471,5
472,9
473,5
474,4
475,2
476,4
477,13
478,10
479,11
480,8
481,10
482,3
483,5
484,13
485,8
486,10
487,7
488,7
489,5
490,5
491,4
492,7
493,10
494,3
495,11
496,12
497,6
498,6
499,5
500,6
501,4
502,5
503,3
504,5
505,2
506,3
507,6
508,6
509,5
510,1
511,7
512,5
513,3
514,5
515,5
516,7
517,9
518,6
519,8
520,8
521,4
522,6
523,9
524,8
525,11
526,4
527,6
528,3
529,5
530,7
531,10
532,9
533,5
534,4
535,3
536,13
537,5
538,6
539,6
540,9
541,7
542,10
543,4
544,8
545,7
546,0
547,4
548,9
549,4
550,4
551,5
552,5
553,5
554,11
555,6
556,9
557,7
558,9
559,5
560,5
561,3
562,5
563,2
564,8
565,8
566,8
567,7
568,7
569,7
570,8
571,10
572,9
573,9
574,5
575,8
576,10
577,11
578,4
579,4
580,14
581,6
582,7
583,6
584,4
585,5
586,10
587,11
588,7
589,4
590,11
591,6
592,10
593,5
594,5
595,7
596,8
597,4
598,6
599,5
600,4
601,8
602,6
603,9
604,9
605,11
606,9
607,4
608,4
609,8
610,9
611,6
612,13
613,8
614,6
615,8
616,8
617,7
618,6
619,6
620,9
621,8
622,9
623,5
624,10
625,4
626,6
627,6
628,5
629,10
630,4
631,4
632,13
633,7
634,6
635,7
636,13
637,9
638,7
639,10
640,9
641,5
642,6
643,4
644,8
645,8
646,5
647,5
648,10
649,10
650,2
651,4
652,10
653,9
654,11
655,4
656,8
657,4
658,11
659,10
660,9
661,9
662,5
663,9
664,5
665,7
666,7
667,8
668,7
669,8
670,8
671,3
672,6
673,6
674,7
675,8
676,10
677,10
678,6
679,6
680,7
681,5
682,8
683,4
684,9
685,6
686,5
687,9
688,9
689,10
690,8
691,8
692,6
693,11
694,8
695,11
696,3
697,8
698,10
699,10
700,8
701,11
702,15
703,9
704,13
705,11
706,8
707,11
708,6
709,9
710,8
711,4
712,19
713,8
714,11
715,12
716,13
717,18
718,10
719,11
720,11
721,10
722,7
723,11
724,10
725,16
726,8
727,12
728,11
729,7
730,8
731,9
732,14
733,12
734,12
735,11
736,10
737,11
738,5
739,15
740,10
741,8
742,15
743,6
744,8
745,8
746,11
747,7
748,8
749,17
750,20
751,11
752,10
753,7
754,12
755,8
756,9
757,15
758,6
759,14
760,11
761,8
762,14
763,14
764,12
765,11
766,15
767,10
768,10
769,14
770,14
771,11
772,10
773,12
774,6
775,7
776,10
777,10
778,7
779,9
780,18
781,11
782,8
783,8
784,7
785,10
786,9
787,10
788,10
789,12
790,9
791,6
792,16
793,11
794,11
795,11
796,8
797,12
798,11
799,8
800,8
801,11
802,5
803,10
804,11
805,13
806,9
807,8
808,6
809,5
810,11
811,7
812,5
813,20
814,7
815,6
816,10
817,8
818,5
819,7
820,7
821,10
822,5
823,7
824,10
825,10
826,4
827,6
828,6
829,6
830,6
831,4
832,8
833,7
834,8
835,5
836,9
837,13
838,10
839,10
840,10
841,6
842,8
843,12
844,6
845,10
846,2
847,3
848,12
849,4
850,8
851,10
852,9
853,11
854,5
855,3
856,10
857,7
858,6
859,4
860,9
861,7
862,10
863,4
864,11
865,3
866,9
867,5
868,10
869,9
870,8
871,7
872,3
873,9
874,5
875,8
876,4
877,7
878,6
879,11
880,7
881,7
882,10
883,8
884,9
885,8
886,7
887,7
888,9
889,6
890,6
891,9
892,6
893,9
894,3
895,2
896,14
897,12
898,6
899,9
900,9
901,8
902,8
903,8
904,11
905,4
906,11
907,7
908,15
909,8
910,10
911,13
912,1
913,3
914,6
915,8
916,10
917,16
918,4
919,7
920,6
921,1
922,8
923,5
924,9
925,8
926,5
927,6
928,7
929,4
930,3
931,10
932,15
933,13
934,9
935,4
936,5
937,7
938,4
939,10
940,8
941,15
942,5
943,6
944,8
945,6
946,11
947,4
948,9
949,4
950,5
951,12
952,8
953,6
954,8
955,8
956,8
957,6
958,7
959,9
960,9
961,15
962,5
963,4
964,6
965,7
966,6
967,6
968,9
969,5
970,8
971,5
972,10
973,5
974,6
975,7
976,4
977,5
978,9
979,8
980,10
981,3
982,5
983,5
984,6
985,12
986,8
987,7
988,5
989,8
990,5
991,5
992,5
993,7
994,8
995,8
996,5
997,8
998,7
999,6
1000,10
1001,7
1002,10
1003,4
1004,12
1005,6
1006,8
1007,8
1008,10
1009,4
1010,8
1011,11
1012,9
1013,12
1014,7
1015,6
1016,8
1017,7
1018,3
1019,7
1020,11
1021,9
1022,10
1023,8
1024,9
1025,5
1026,6
1027,7
1028,8
1029,12
1030,8
1031,5
1032,6
1033,6
1034,10
1035,8
1036,9
1037,12
1038,4
1039,8
1040,8
1041,6
1042,5
1043,6
1044,7
1045,4
1046,4
1047,10
1048,9
1049,10
1050,7
1051,8
1052,5
1053,8
1054,4
1055,5
1056,4
1057,9
1058,5
1059,9
1060,13
1061,5
1062,8
1063,5
1064,3
1065,7
1066,8
1067,10
1068,8
1069,9
1070,7
1071,11
1072,8
1073,5
1074,7
1075,13
1076,5
1077,11
1078,9
1079,8
1080,6
1081,9
1082,10
1083,12
1084,9
1085,6
1086,8
1087,8
1088,9
1089,6
1090,8
1091,11
1092,11
1093,10
1094,8
1095,6
1096,6
1097,7
1098,6
1099,8
1100,12
1101,9
1102,5
1103,15
1104,7
1105,13
1106,9
1107,11
1108,10
1109,8
1110,6
1111,5
1112,9
1113,4
1114,5
1115,4
1116,14
1117,11
1118,10
1119,7
1120,7
1121,6
1122,9
1123,6
1124,12
1125,6
1126,13
1127,5
1128,13
1129,6
1130,3
1131,9
1132,12
1133,10
1134,6
1135,11
1136,7
1137,7
1138,9
1139,7
1140,10
1141,7
1142,11
1143,7
1144,7
1145,5
1146,7
1147,11
1148,17
1149,8
1150,11
1151,4
1152,9
1153,3
1154,13
1155,3
1156,8
1157,8
1158,4
1159,9
1160,6
1161,10
1162,13
1163,8
1164,13
1165,6
1166,15
1167,9
1168,9
1169,6
1170,11
1171,7
1172,7
1173,8
1174,8
1175,12
1176,7
1177,10
1178,11
1179,11
1180,15
1181,8
1182,11
1183,7
1184,9
1185,1
1186,8
1187,12
1188,7
1189,10
1190,8
1191,12
1192,11
1193,6
1194,14
1195,7
1196,13
1197,9
1198,14
1199,8
1200,12
1201,7
1202,12
1203,7
