num,load
0,0
1,1
2,1
3,2
4,2
5,3
6,3
7,5
8,4
9,4
10,5
11,6
12,9
13,8
14,6
15,12
16,1
17,7
18,9
19,9
20,9
21,6
22,9
23,5
24,12
25,9
26,8
27,9
28,10
29,14
30,6
31,11
32,7
33,4
34,9
35,8
36,6
37,5
38,5
39,6
40,9
41,6
42,5
43,4
44,5
45,2
46,0
47,2
48,4
49,3
50,3
51,3
52,2
53,2
54,3
55,1
56,1
57,3
58,0
59,0
60,2
61,0
62,1
63,2
64,0
65,2
66,0
67,3
68,1
69,1
70,0
71,1
72,1
73,2
74,2
75,3
76,3
77,3
78,0
79,2
80,3
81,3
82,3
83,2
84,1
85,2
86,0
87,2
88,1
89,2
90,3
91,1
92,3
93,1
94,1
95,1
96,0
97,1
98,1
99,4
100,2
101,1
102,1
103,2
104,1
105,1
106,1
107,2
108,4
109,3
110,3
111,2
112,2
113,4
114,3
115,2
116,2
117,2
118,1
119,2
120,2
121,2
122,3
123,3
124,0
125,5
126,2
127,5
128,3
129,2
130,5
131,3
132,4
133,4
134,2
135,3
136,1
137,3
138,5
139,4
140,2
141,2
142,1
143,0
144,2
145,2
146,4
147,1
148,1
149,2
150,3
151,4
152,1
153,4
154,1
155,1
156,1
157,2
158,0
159,1
160,3
161,1
162,1
163,3
164,2
165,1
166,2
167,3
168,0
169,1
170,1
171,0
172,0
173,1
174,0
175,2
176,5
177,1
178,4
179,4
180,3
181,1
182,5
183,2
184,2
185,3
186,2
187,5
188,6
189,4
190,8
191,5
192,6
193,4
194,12
195,10
196,8
197,12
198,17
199,16
200,11
201,17
202,21
203,24
204,26
205,28
206,34
207,33
208,44
209,43
210,43
211,52
212,51
213,73
214,71
215,63
216,71
217,80
218,69
219,58
220,88
221,79
222,84
223,90
224,104
225,70
226,91
227,79
228,107
229,84
230,90
231,80
232,76
233,61
234,41
235,54
236,45
237,41
238,34
239,34
240,30
241,40
242,28
243,24
244,24
245,12
246,16
247,19
248,13
249,15
250,6
251,7
252,4
253,4
254,5
255,2
256,2
257,2
258,2
259,1
260,1
261,1
262,0
263,2
264,1
265,1
266,1
267,2
268,2
269,2
270,0
271,1
272,2
273,3
274,2
275,0
276,3
277,2
278,2
279,2
280,2
281,2
282,2
283,1
284,0
285,3
286,0
287,1
288,0
289,1
290,2
291,1
292,4
293,0
294,0
295,1
296,0
297,1
298,1
299,1
300,1
301,2
302,1
303,0
304,0
305,0
306,0
307,0
308,0
309,1
310,0
311,1
312,3
313,4
314,1
315,2
316,5
317,0
318,0
319,1
320,6
321,1
322,7
323,5
324,3
325,3
326,3
327,5
328,4
329,4
330,3
331,1
332,4
333,4
334,6
335,7
336,2
337,9
338,5
339,2
340,5
341,1
342,6
343,4
344,7
345,1
346,3
347,1
348,2
349,0
350,1
351,2
352,0
353,1
354,0
355,0
356,1
357,2
358,0
359,0
360,1
361,2
362,0
363,1
364,1
365,1
366,1
367,0
368,0
369,0
370,0
371,0
372,0
373,2
374,0
375,0
376,1
377,0
378,1
379,0
380,1
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,1
392,0
393,1
394,1
395,0
396,0
397,0
398,0
399,1
400,0
401,1
402,0
403,2
404,1
405,0
406,1
407,2
408,3
409,1
410,2
411,2
412,2
413,1
414,6
415,6
416,6
417,3
418,6
419,4
420,9
421,10
422,8
423,11
424,8
425,14
426,8
427,6
428,7
429,11
430,13
431,14
432,10
433,9
434,12
435,7
436,11
437,11
438,11
439,6
440,5
441,8
442,5
443,8
444,7
445,8
446,2
447,5
448,1
449,4
450,3
451,6
452,5
453,3
454,2
455,4
456,0
457,1
458,2
459,0
460,2
461,0
462,1
463,1
464,0
465,2
466,0
467,2
468,2
469,4
470,4
471,3
472,1
473,2
474,2
475,2
476,2
477,2
478,0
479,2
480,2
481,0
482,2
483,0
484,4
485,2
486,2
487,4
488,3
489,2
490,0
491,0
492,0
493,0
494,0
495,0
496,2
497,0
498,1
499,2
500,2
501,1
502,0
503,1
504,0
505,0
506,0
507,2
508,1
509,0
510,0
511,0
512,1
513,0
514,0
515,1
516,2
517,2
518,4
519,2
520,1
521,2
522,1
523,5
524,1
525,0
526,2
527,2
528,1
529,2
530,2
531,2
532,3
533,1
534,2
535,1
536,2
537,6
538,1
539,3
540,2
541,2
542,1
543,3
544,4
545,1
546,1
547,2
548,1
549,2
550,0
551,1
552,2
553,2
554,1
555,0
556,1
557,0
558,0
559,0
560,1
561,0
562,0
563,0
564,0
565,1
566,0
567,2
568,1
569,0
570,1
571,0
572,1
573,3
574,0
575,0
576,0
577,1
578,0
579,1
580,1
581,0
582,0
583,2
584,0
585,0
586,0
587,0
588,0
589,0
590,2
591,0
592,1
593,0
594,1
595,1
596,1
597,2
598,1
599,0
600,1
601,1
602,5
603,3
604,3
605,4
606,16
607,9
608,6
609,17
610,21
611,25
612,15
613,30
614,29
615,37
616,34
617,46
618,48
619,35
620,55
621,37
622,56
623,44
624,62
625,61
626,56
627,69
628,64
629,57
630,63
631,72
632,67
633,62
634,60
635,49
636,60
637,61
638,53
639,39
640,38
641,39
642,28
643,37
644,35
645,29
646,23
647,21
648,16
649,21
650,8
651,17
652,12
653,13
654,6
655,5
656,4
657,3
658,2
659,0
660,2
661,3
662,2
663,1
664,1
665,2
666,2
667,2
668,3
669,3
670,0
671,1
672,3
673,3
674,0
675,2
676,3
677,3
678,0
679,1
680,0
681,3
682,3
683,0
684,2
685,1
686,4
687,1
688,2
689,3
690,0
691,1
692,0
693,3
694,1
695,2
696,5
697,1
698,1
699,0
700,2
701,0
702,2
703,2
704,0
705,1
706,2
707,0
708,1
709,1
710,0
711,1
712,2
713,0
714,1
715,0
716,0
717,4
718,1
719,5
720,3
721,3
722,5
723,3
724,3
725,4
726,5
727,8
728,5
729,3
730,7
731,4
732,6
733,1
734,3
735,10
736,5
737,3
738,1
739,2
740,4
741,1
742,7
743,4
744,4
745,4
746,2
747,2
748,2
749,3
750,0
751,4
752,2
753,0
754,3
755,0
756,2
757,1
758,2
759,1
760,3
761,2
762,2
763,0
764,0
765,0
766,0
767,0
768,0
769,1
770,0
771,0
772,0
773,1
774,0
775,0
776,0
777,1
778,0
779,0
780,0
781,1
782,0
783,2
784,1
785,0
786,0
787,0
788,0
789,0
790,3
791,1
792,0
793,0
794,0
795,2
796,0
797,0
798,0
799,0
800,0
801,0
802,1
803,0
804,0
805,0
806,0
807,0
808,2
809,0
810,0
811,0
812,2
813,3
814,2
815,4
816,5
817,1
818,2
819,3
820,2
821,5
822,2
823,6
824,7
825,7
826,4
827,6
828,4
829,8
830,4
831,4
832,7
833,7
834,4
835,11
836,10
837,5
838,6
839,11
840,13
841,12
842,8
843,6
844,10
845,6
846,11
847,4
848,8
849,4
850,2
851,6
852,2
853,1
854,2
855,5
856,3
857,6
858,2
859,3
860,2
861,3
862,2
863,3
864,1
865,0
866,2
867,1
868,4
869,0
870,1
871,2
872,3
873,1
874,1
875,0
876,1
877,1
878,1
879,2
880,2
881,1
882,0
883,2
884,1
885,0
886,1
887,0
888,1
889,0
890,2
891,4
892,0
893,2
894,1
895,0
896,3
897,1
898,1
899,1
900,0
901,0
902,1
903,1
904,0
905,1
906,1
907,2
908,1
909,0
910,0
911,1
912,1
913,2
914,3
915,4
916,1
917,2
918,2
919,0
920,0
921,3
922,1
923,2
924,3
925,3
926,0
927,1
928,2
929,2
930,4
931,3
932,4
933,2
934,1
935,2
936,2
937,2
938,0
939,1
940,2
941,2
942,1
943,1
944,1
945,6
946,2
947,3
948,1
949,2
950,2
951,1
952,3
953,1
954,2
955,3
956,1
957,0
958,2
959,0
960,0
961,1
962,2
963,2
964,1
965,0
966,0
967,3
968,1
969,3
970,0
971,2
972,1
973,0
974,1
975,0
976,0
977,1
978,1
979,0
980,0
981,2
982,0
983,0
984,1
985,1
986,2
987,0
988,1
989,2
990,0
991,1
992,3
993,0
994,1
995,1
996,1
997,2
998,2
999,1
1000,2
1001,2
1002,0
1003,2
1004,3
1005,6
1006,5
1007,5
1008,7
1009,7
1010,13
1011,15
1012,15
1013,17
1014,18
1015,26
1016,17
1017,38
1018,30
1019,36
1020,37
1021,43
1022,38
1023,45
1024,68
1025,66
1026,72
1027,67
1028,54
1029,70
1030,63
1031,71
1032,69
1033,69
1034,82
1035,69
1036,66
1037,80
1038,67
1039,59
1040,56
1041,74
1042,50
1043,49
1044,71
1045,55
1046,51
1047,57
1048,36
1049,36
1050,38
1051,36
1052,29
1053,39
1054,21
1055,15
1056,20
1057,15
1058,16
1059,13
1060,16
