num,load
0,41
1,49
2,44
3,47
4,50
5,41
6,54
7,57
8,70
9,63
10,89
11,94
12,96
13,108
14,93
15,99
16,99
17,100
18,123
19,131
20,120
21,154
22,163
23,162
24,182
25,165
26,182
27,200
28,194
29,190
30,219
31,221
32,213
33,225
34,222
35,252
36,244
37,236
38,264
39,216
40,243
41,262
42,255
43,270
44,277
45,246
46,245
47,269
48,267
49,242
50,260
51,249
52,279
53,217
54,222
55,222
56,216
57,235
58,222
59,217
60,192
61,222
62,193
63,202
64,209
65,170
66,171
67,152
68,163
69,161
70,157
71,161
72,136
73,134
74,141
75,150
76,128
77,121
78,110
79,128
80,97
81,94
82,90
83,94
84,87
85,82
86,85
87,70
88,61
89,65
90,58
91,60
92,62
93,47
94,51
95,59
96,49
97,45
98,59
99,48
100,52
